reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
15faa1ea-c8bd-44bd-af06-05fe25b4e477,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kembalikan get contact seperti dulu, masa cuma melihat tagar harus premium, kalo kendala biaya teknologi meningkat mending diubah tonton iklan aja mungkin lebih baik, 1 bulan premium 19000 itupun ga pasti 1 bulan ngecek nomer orang ga dikenal kan jadi rugi di kita, sayang banget aplikasi yg sebelumnya bagus jadi banyak komplain dan bintang 1 nya",1,371,7.1.1,2024-09-15 18:05:03,,,7.1.1
7c2cc46c-a1b5-43b7-8736-941e9a6b02f3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"bagusan get contact versi dulu sih tiap bulan ada jatahnya buat liat secara gratis, sekarang harus bayar langganan premium dan dan saya sudah sangat jarang dan tidak tertarik enggunakan apk ini semenjak kebijakan yang mengharuskan untuk membayar. sekian terimakasih",1,252,7.1.1,2024-09-15 11:21:53,"Halo,
Terima kasih atas komentar dan masukan Anda. Kami telah melakukan perubahan pada beberapa fitur karena biaya teknologi telah meningkat. Kami memahami bahwa hal ini dapat mengecewakan dan kami mohon maaf. Kami sangat menerima masukan Anda dan sedang berupaya untuk meningkatkan pengalaman Anda.
Hormat kami,
Tim ahli Getcontact",2024-09-15 12:59:26,7.1.1
0f8a8b07-7e92-4670-a6a0-fa3a393f54b0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Bru buka lgi setelah di upgrade, ternyata untuk melihat tagar, setelah di upgrade, yg sebelumnya gratis skrng malah harus premium dlu. Jdinya kan udah enggak terlalu menarik lgi. Padahal sebelumnya free kok skrng malah harus premium dlu yah?? Aku baca ulasan, ternyata banyak yg komplain juga... Klo mmng tdk bisa sepenuhnya gratis, tetapkan sja, dlm sebulan hanya sekian kali bisa melihat tagar nomor yg di cari.",1,1123,7.0.2,2024-09-12 13:05:49,"Halo,
Terima kasih atas komentar dan masukan Anda. Kami telah melakukan perubahan pada beberapa fitur karena biaya teknologi telah meningkat. Kami memahami bahwa hal ini dapat mengecewakan dan kami mohon maaf. Kami sangat menerima masukan Anda dan sedang berupaya untuk meningkatkan pengalaman Anda.
Hormat kami,
Tim ahli Getcontact",2024-09-12 13:41:58,7.0.2
4278c999-be46-4634-a6d9-40f2815b6d8d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Mohon maaf kepada get connected, Saya sangat merekomendasikan apk ini kepada keluarga dan teman teman. Karena fiturnya yang bagus banget, tapi dulu pas masih gratis walaupun sekali dua kali ada iklan Semenjak di update, Tidak bisa liat tagar orang lain lagi... Minimal di kasih lah, sebulan 3x walaupun tidak premium. Jujur setelah ada perubahan, jadi kurang berguna bagi yang tidak berlangganan premium",1,2582,7.0.2,2024-09-05 02:54:32,"Tim Getcontact mengucapkan terima kasih atas komentar Anda berikan. Kami telah melakukan perubahan pada beberapa fitur karena meningkatnya biaya teknologi. Kami memahami bahwa ini mengecewakan pelanggan dan kami mohon maaf. Kami menerima semua saran Anda dan sedang berupaya untuk meningkatkan pengalaman Anda. Hormat kami, Tim ahli Getcontact",2024-09-05 08:43:05,7.0.2
2569a875-93fe-4afd-8c52-9cf6e142d308,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"awal cukup bagus, sebagian memang diberikan akses dari keunggulan Getcontact namun sekarang malah semuanya harus berlangganan.. pun ga semua nomor kontak bisa terdata juga alias tidak diketahui. dipertimbangkan segera untuk uninstall aplikasi ini jika minimal ga kembali seperti akses dan layanan sebelumnya",1,454,7.0.2,2024-09-07 03:01:39,"Tim Getcontact telah menerima komentar Anda dan kami telah membuat perubahan pada beberapa fitur dalam rangka peningkatan biaya teknologi. Kami memahami bahwa hal ini sangat mengecewakan dan kami mohon maaf. Kami menerima masukan Anda dan sedang berusaha untuk meningkatkan pengalaman Anda. Hormat kami, Tim ahli Getcontact",2024-09-07 06:20:01,7.0.2
566b441a-5af4-4716-9cc1-e9bdee362e51,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kalau ga bisa liat tagar lagi trus apa gunanya ini aplikasi? Dikit² premium. Mending pake apl lain atau bawaan hp, bukannya ga mampu. Buat apa berlangganan kalo aplikasi kadang cuma diliat sekali karena penasaran aja dengan tagar, kalau hanya iklan td masih bisa diterima. Ini apa² harus premium preet lah",1,57,7.1.1,2024-09-13 06:46:16,"Halo,
Tim Getcontact telah saran dari Anda dan karena pengkatan biaya teknologi, kami harus melakukan perubahan pada beberapa fitur. Kami memahami kekecewaan Anda alami dan kami mohon maaf atas hal tersebut. Kami sangat menghargai masukan Anda dan sedang berupaya untuk meningkatkan pengalaman Anda. Hormat kami,
Tim ahli Getcontact",2024-09-13 07:22:24,7.1.1
14a5c2dc-0ad8-4872-babd-a44f4b25d9ad,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Saya agak kecewa sekarang, kenapa getcontak harus premium dulu baru bisa liat tanggar, tolong dong jangan harus berbayar di ganti aja dengan nonton iklan, terimakasih sebelumnya 🙏 padahal aplikasi ini sangat membantu.",2,65,7.0.2,2024-09-11 00:46:15,"Halo,
Tim Getcontact telah saran dari Anda dan karena pengkatan biaya teknologi, kami harus melakukan perubahan pada beberapa fitur. Kami memahami kekecewaan Anda alami dan kami mohon maaf atas hal tersebut. Kami sangat menghargai masukan Anda dan sedang berupaya untuk meningkatkan pengalaman Anda. Hormat kami,
Tim ahli Getcontact",2024-09-11 10:01:26,7.0.2
bf0fdd8f-b4a0-43c5-bb46-f549327d1b15,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kakak ayolah jangan dikit² premium . Ada iklan sih masih bisa diterima yaaaaa , tp kalau harus berbayar konsumen rugii , pake apk paling sebulan sekali itu pun belum tentu , kalau harus langganan ya nggak masuk lah . Kasih lah maksimal sebulan tuh brp kali bisa lihat tagar , itu juga masih bisa diterima . Yok bisa yok kayak GC yg awal muncul . MAKASIH",1,6,7.1.1,2024-09-16 05:08:48,"Halo,
Terima kasih atas komentar dan masukan Anda. Kami telah melakukan perubahan pada beberapa fitur karena biaya teknologi telah meningkat. Kami memahami bahwa hal ini dapat mengecewakan dan kami mohon maaf. Kami sangat menerima masukan Anda dan sedang berupaya untuk meningkatkan pengalaman Anda.
Hormat kami,
Tim ahli Getcontact",2024-09-16 11:26:35,7.1.1
857e29ec-738d-4aac-97fa-e931911bcea7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasinya makin lama makin ribet, dulu bisa cek nomor walau belum premium. sekarang malah tidak bisa, kecewa sih kirain setelah update makin bagus, ehh malah performanya turun padahal apk ini sudah banyak menyelamatkan saya dan teman-teman saya dari penipuan",2,521,7.0.2,2024-09-11 16:00:06,"Tim Getcontact mengucapkan terima kasih atas komentar Anda berikan. Kami telah melakukan perubahan pada beberapa fitur karena meningkatnya biaya teknologi. Kami memahami bahwa ini mengecewakan pelanggan dan kami mohon maaf. Kami menerima semua saran Anda dan sedang berupaya untuk meningkatkan pengalaman Anda. Hormat kami, Tim ahli Getcontact",2024-09-12 10:25:48,7.0.2
0fc35c67-b14f-4122-80c2-b4abe10f48de,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi ga jelas udah download menuh menuhin memori lagi pas masuk malah ad peringatan permintaan anda terlalu banyak tunggu nanti lagi, minimal kalo belum bisa bikin aplikasi gausah bikin sudah menuh menuhin memori lagi padahal di Tiktok ad iklanya katanya aplikasinya bagus banget ternyata nggak sebagus yang diperkirakan😒🫢",1,355,7.0.2,2024-09-10 01:45:13,"Halo, Silahkan lengkapi formulir berikut dan salah satu spesialis Getcontact kami akan segera menghubungi Anda untuk menyelesaikan kendala yang terjadi:
https://www.getcontact.com/send-report
Terima kasih atas pengertian dan kesabaran Anda. - Getcontact Team",2024-09-10 06:24:03,7.0.2
